지역구,노인주거복지시설정원,의료복지정원,노인여가복지시설정원,재가노인복지시설정원,id,거주노인
강남구,264 ,233 ,76 ,557 ,11680,145204
강동구,175 ,567 ,53 ,909 ,11740,132802
강북구,0 ,716 ,111 ,655 ,11305,123320
강서구,517 ,1103 ,179 ,1155 ,11500,171984
관악구,0 ,606 ,108 ,934 ,11620,153328
광진구,769 ,595 ,152 ,431 ,11215,97978
구로구,0 ,930 ,142 ,537 ,11530,134864
금천구,92 ,661 ,190 ,437 ,11545,77016
노원구,124 ,1069 ,117 ,589 ,11350,165364
도봉구,44 ,1129 ,149 ,301 ,11320,120046
동대문구,0 ,422 ,264 ,883 ,11230,120734
동작구,0 ,253 ,180 ,1030 ,11590,126756
마포구,240 ,302 ,126 ,788 ,11440,106566
서대문구,0 ,468 ,173 ,416 ,11410,106076
서초구,0 ,331 ,197 ,218 ,11650,116664
성동구,0 ,418 ,251 ,510 ,11200,89456
성북구,239 ,813 ,219 ,549 ,11290,144344
송파구,12 ,787 ,85 ,886 ,11710,179078
양천구,9 ,732 ,205 ,1256 ,11470,125522
영등포구,0 ,260 ,156 ,697 ,11560,118746
용산구,114 ,203 ,134 ,282 ,11170,78878
은평구,162 ,1008 ,152 ,591 ,11380,164490
종로구,57 ,359 ,195 ,93 ,11110,56146
중구,242 ,83 ,190 ,257 ,11140,47588
중랑구,0 ,1128 ,138 ,1292 ,11260,133528
