자치구,long,lat,노인주거복지시설정원,의료복지정원,노인여가복지시설정원,재가노인복지시설정원,거주노인,노인주거복지시설(시설당),의료복지시설(시설당),노인여가복지시설(시설당),재가노인복지시설(시설당),전체평균,전체평균,순위,순위
강남구,127.0602,37.49577,264 ,233 ,76 ,557 ,145204 ,550.02,623.19,1910.58,260.69,836.12,931.49,11,24
강동구,127.1483,37.55058,175 ,567 ,53 ,909 ,132802 ,758.87,234.22,2505.70,146.10,911.22,962.00,12,25
강북구,127.0046,37.65508,0 ,716 ,111 ,655 ,123320 ,123320.00,172.23,1110.99,188.27,31197.88,490.50,21,18
강서구,126.822,37.56064,517 ,1103 ,179 ,1155 ,171984 ,332.66,155.92,960.80,148.90,399.57,421.88,4,12
관악구,126.958,37.46261,0 ,606 ,108 ,934 ,153328 ,153328 ,253.02,1419.70,164.16,38791.22,612.29,25,21
광진구,127.0917,37.5524,769 ,595 ,152 ,431 ,97978 ,127.41,164.67,644.59,227.33,291.00,345.53,1,6
구로구,126.8495,37.49778,0 ,930 ,142 ,537 ,134864 ,134864 ,145.02,949.75,251.14,34052.48,448.63,24,16
금천구,126.9046,37.45196,92 ,661 ,190 ,437 ,77016 ,837.13,116.51,405.35,176.24,383.81,232.70,3,1
노원구,127.0708,37.65841,124 ,1069 ,117 ,589 ,165364 ,1333.58,154.69,1413.37,280.75,795.60,616.27,10,22
도봉구,127.0351,37.66929,44 ,1129 ,149 ,301 ,120046 ,2728.32,106.33,805.68,398.82,1009.79,436.94,13,13
동대문구,127.0511,37.58732,0 ,422 ,264 ,883 ,120734 ,120734 ,286.10,457.33,136.73,30403.54,293.39,20,3
동작구,126.9547,37.50103,0 ,253 ,180 ,1030 ,126756 ,126756 ,501.01,704.20,123.06,32021.07,442.76,22,14
마포구,126.9189,37.55464,240 ,302 ,126 ,788 ,106566 ,444.03,352.87,845.76,135.24,444.47,444.62,6,15
서대문구,126.9457,37.58274,0 ,468 ,173 ,416 ,106076 ,106076 ,226.66,613.16,254.99,26792.70,364.93,17,8
서초구,127.0132,37.49259,0 ,331 ,197 ,218 ,116664 ,116664 ,352.46,592.20,535.16,29535.95,493.27,18,19
성동구,127.0434,37.55234,0 ,418 ,251 ,510 ,89456 ,89456 ,214.01,356.40,175.40,22550.45,248.60,16,2
성북구,127.0106,37.60025,239 ,813 ,219 ,549 ,144344 ,603.95,177.54,659.11,262.92,425.88,366.52,5,9
송파구,127.1031,37.51317,12 ,787 ,85 ,886 ,179078 ,14923.17,227.55,2106.80,202.12,4364.91,845.49,15,23
양천구,126.854,37.51994,9 ,732 ,205 ,1256 ,125522 ,13946.89,171.48,612.30,99.94,3707.65,294.57,14,4
영등포구,126.9105,37.53327,0 ,260 ,156 ,697 ,118746 ,118746 ,456.72,761.19,170.37,30033.57,462.76,19,17
용산구,126.9717,37.53171,114 ,203 ,134 ,282 ,78878 ,691.91,388.56,588.64,279.71,487.21,418.97,7,11
은평구,126.9217,37.62489,162 ,1008 ,152 ,591 ,164490 ,1015.37,163.18,1082.17,278.32,634.76,507.89,9,20
종로구,126.9746,37.58087,57 ,359 ,195 ,93 ,56146 ,985.02,156.40,287.93,603.72,508.27,349.35,8,7
중구,126.9938,37.55906,242 ,83 ,190 ,257 ,47588 ,196.64,573.35,250.46,185.17,301.41,336.33,2,5
중랑구,127.0913,37.60069,0 ,1128 ,138 ,1292 ,133528 ,133528 ,118.38,967.59,103.35,33679.33,396.44,23,10
